"","unique.filtered_routes.route.","mean_diffs","p_values","significant"
"1","31208 - 31108",37.2241524709058,0.609,FALSE
"2","31100 - 31201",-144.752525252525,0.032,TRUE
"3","31103 - 31104",114.768091168091,0.799,FALSE
"4","31205 - 31200",-13.9867393239712,0.861,FALSE
"5","31201 - 31200",-226.111763521087,0.031,TRUE
"6","31106 - 31104",-295.530860711594,0,TRUE
"7","31200 - 31600",15.3459845984598,0.765,FALSE
"8","31100 - 31200",-538.100056529113,0,TRUE
"9","31111 - 31200",-3.37580219474921,0.927,FALSE
"10","31111 - 31201",-157.157683117361,0.051,TRUE
"11","31200 - 31201",-14.8147896279733,0.959,FALSE
"12","31200 - 31111",-77.7622893868335,0.381,FALSE
"13","31603 - 31600",-512.393143459916,0,TRUE
"14","31101 - 31105",-295.703235815603,0.126,FALSE
"15","31201 - 31600",-168.394034811511,0.048,TRUE
"16","31602 - 31400",-136.894503800373,0.009,TRUE
"17","31108 - 31208",27.766073871409,0.338,FALSE
"18","31200 - 31100",-111.5194092827,0.144,FALSE
"19","31201 - 31111",-54.5045584045585,0.042,TRUE
"20","31203 - 31111",173.975338491296,0.716,FALSE
"21","31200 - 31104",39.9713089979075,0.646,FALSE
"22","31202 - 31111",-31.6487154150198,0.745,FALSE
"23","31106 - 31103",-216.18559602649,0.027,TRUE
"24","31200 - 31101",-440.088600187266,0,TRUE
"25","31104 - 31110",-81.5036437246964,0.115,FALSE
"26","31600 - 31201",529.420647149461,0.597,FALSE
"27","31203 - 31202",-10.2284427284427,0.832,FALSE
"28","31201 - 31202",82.3288791529756,0.527,FALSE
"29","31110 - 31104",-132.297425474255,0.117,FALSE
"30","31602 - 31201",33.9724090597118,0.953,FALSE
"31","31101 - 31200",-187.24913835549,0.007,TRUE
"32","31202 - 31203",-140.377037037037,0.512,FALSE
"33","31104 - 31106",-292.735180525787,0.008,TRUE
"34","31106 - 31200",-152.537834311807,0.634,FALSE
"35","31101 - 31203",-931.807347564571,0,TRUE
"36","31104 - 31101",-333.977980313525,0.072,TRUE
"37","31201 - 31205",40.8912680756397,0.222,FALSE
"38","31104 - 31200",-246.494045614572,0.005,TRUE
"39","31600 - 31203",-389.257389162561,0.023,TRUE
"40","31202 - 31101",-884.943475452196,0.191,FALSE
"41","31111 - 31101",-714.930451612903,0.006,TRUE
"42","31110 - 31111",-257.742756985256,0.006,TRUE
"43","31111 - 31203",-100.161889834304,0.17,FALSE
"44","31007 - 31009",-75.4059260201532,0,TRUE
"45","31200 - 31203",-96.3141784652593,0.047,TRUE
"46","31104 - 31105",-239.100017006803,0,TRUE
"47","31200 - 31205",-272.138084230297,0,TRUE
"48","31602 - 31101",-121.163079866093,0.001,TRUE
"49","31200 - 31204",-552.241028882622,0.001,TRUE
"50","31101 - 31201",-222.73951641018,0,TRUE
"51","31103 - 31200",-153.410436070523,0.07,TRUE
"52","31110 - 31100",-230.827114427861,0.088,TRUE
"53","31107 - 31104",-348.065927750411,0,TRUE
"54","31203 - 31200",-275.437232816624,0,TRUE
"55","31110 - 31203",-163.214172917489,0.097,TRUE
"56","31201 - 31101",-152.967117758784,0.006,TRUE
"57","31105 - 31203",-2.3880422635375,0.988,FALSE
"58","31105 - 31200",-161.509803921569,0,TRUE
"59","31202 - 31201",-653.960784313726,0.011,TRUE
"60","31007 - 31010",-30.9756312770871,0.198,FALSE
"61","31110 - 31205",-29.3868843647115,0.571,FALSE
"62","31203 - 31205",-149.463233665559,0.024,TRUE
"63","31203 - 31110",-74.6806919121085,0.026,TRUE
"64","31106 - 31101",156.621829855538,0.242,FALSE
"65","31110 - 31200",-128.138071479483,0.59,FALSE
"66","31602 - 31401",-35.6150902132313,0.108,FALSE
"67","31203 - 31105",-153.63754789272,0,TRUE
"68","31203 - 31101",46.564277665089,0.396,FALSE
"69","31009 - 31007",-68.4345466718348,0,TRUE
"70","31401 - 31602",-58.9830357142857,0.49,FALSE
"71","31212 - 31201",35.5746993524514,0.403,FALSE
"72","31104 - 31111",146.278990158323,0.124,FALSE
"73","31104 - 31107",-215.779063396397,0.287,FALSE
"74","31111 - 31202",45.3091491841492,0.521,FALSE
"75","31104 - 31205",-94.6340598512368,0.132,FALSE
"76","31205 - 31201",30.0536263736265,0.669,FALSE
"77","31200 - 31212",-961.548138388718,0.065,TRUE
"78","31007 - 31011",-28.4785439319241,0.225,FALSE
"79","31201 - 31212",-498.16713901606,0.127,FALSE
"80","31105 - 31104",-180.816231213873,0.001,TRUE
"81","31212 - 31204",-177.703028329534,0.01,TRUE
"82","31106 - 31602",-152.730092592593,0.031,TRUE
"83","31101 - 31213",-257.980983711787,0.518,FALSE
"84","31105 - 31201",5.96899350649346,0.869,FALSE
"85","31107 - 31200",-64.0929110105581,0.847,FALSE
"86","31201 - 31213",-389.337698412699,0.732,FALSE
"87","31101 - 31111",214.277023809524,0.785,FALSE
"88","31107 - 31111",-50.249170015726,0.315,FALSE
"89","31011 - 31007",-33.1794383901286,0.029,TRUE
"90","31103 - 31213",-130.447645951036,0.022,TRUE
"91","31104 - 31213",131.561352440663,0.997,FALSE
"92","31213 - 31101",-2.77913752913753,0.971,FALSE
"93","31105 - 31101",-520.625593395253,0,TRUE
"94","31605 - 31607",205.11157455683,0.996,FALSE
"95","31110 - 31212",-119.556251494143,0.092,TRUE
"96","31604 - 31600",-268.233542319749,0.154,FALSE
"97","31400 - 31602",-161.284294750755,0.008,TRUE
"98","31212 - 31110",-84.2941037457166,0.525,FALSE
"99","31213 - 31201",223.841055900621,0.763,FALSE
"100","31212 - 31200",-322.491860465116,0.027,TRUE
"101","31103 - 31106",-857.066101694915,0,TRUE
"102","31212 - 31203",38.6043432203389,0.544,FALSE
"103","31602 - 31106",-420.388065233506,0,TRUE
"104","31101 - 31212",-76.1188405797101,0.024,TRUE
"105","31105 - 31111",3.07468354430381,0.96,FALSE
"106","31101 - 31104",-197.95951536643,0.723,FALSE
"107","31201 - 31104",-739.260627622697,0.019,TRUE
"108","31104 - 31103",-376.70172337605,0.012,TRUE
"109","31011 - 31010",-2.80985410188953,0.923,FALSE
"110","31104 - 31212",21.6364581364581,0.762,FALSE
"111","31101 - 31110",-238.409934640523,0.003,TRUE
"112","31200 - 31105",-468.693076638282,0,TRUE
"113","31200 - 31110",-305.481681913843,0.45,FALSE
"114","31101 - 31602",-246.03911205074,0.087,TRUE
"115","31213 - 31203",-1336.40336134454,0.073,TRUE
"116","31101 - 31202",-23.4049743687108,0.89,FALSE
"117","31013 - 31007",-315.104890604891,0.028,TRUE
"118","31201 - 31105",-557.304945054945,0.015,TRUE
"119","31204 - 31205",-867.910508410508,0,TRUE
"120","31007 - 31013",-228.408444086455,0.002,TRUE
"121","31200 - 31213",-552.293615953844,0.002,TRUE
"122","31608 - 31208",-201.670451977401,0.277,FALSE
"123","31107 - 31602",4.92790262172286,0.966,FALSE
"124","31602 - 31107",-191.343288964144,0.001,TRUE
"125","31214 - 31101",92.585618729097,0.683,FALSE
"126","31200 - 31107",-483.229038603393,0.353,FALSE
"127","31200 - 31214",-180.516639828234,0.106,FALSE
"128","31503 - 31200",-237.846375143844,0.137,FALSE
"129","31214 - 31212",-274.276501354254,0,TRUE
"130","31214 - 31104",-9.43144208037825,0.682,FALSE
"131","31214 - 31200",144.800773232781,0.293,FALSE
"132","31214 - 31202",-60.1437114197531,0.156,FALSE
"133","31111 - 31214",-121.562121212121,0.113,FALSE
"134","31104 - 31214",15.5638888888889,0.566,FALSE
"135","31201 - 31214",-123.248959608323,0.083,TRUE
